iter	Passed	Remaining
0	51	51140
1	51	25879
2	52	17437
3	53	13221
4	53	10671
5	54	8973
6	54	7756
7	55	6846
8	55	6143
9	56	5595
10	57	5129
11	57	4740
12	58	4412
13	58	4130
14	59	3885
15	59	3671
16	60	3483
17	60	3315
18	61	3164
19	61	3029
20	62	2907
21	62	2800
22	63	2701
23	64	2609
24	64	2526
25	65	2449
26	65	2376
27	66	2309
28	67	2246
29	67	2187
30	68	2131
31	68	2078
32	69	2029
33	69	1983
34	70	1940
35	71	1901
36	71	1863
37	72	1832
38	73	1798
39	73	1764
40	74	1732
41	74	1702
42	75	1672
43	75	1643
44	76	1616
45	76	1590
46	77	1565
47	77	1541
48	78	1520
49	78	1499
50	79	1478
51	80	1458
52	80	1440
53	81	1422
54	81	1404
55	82	1387
56	82	1371
57	83	1354
58	83	1338
59	84	1323
60	85	1308
61	85	1294
62	86	1279
63	86	1269
64	87	1256
65	87	1243
66	88	1231
67	88	1219
68	89	1207
69	90	1196
70	90	1185
71	91	1173
72	91	1163
73	92	1152
74	92	1142
75	93	1134
76	93	1124
77	94	1115
78	94	1106
79	95	1097
80	95	1088
81	96	1079
82	96	1070
83	97	1062
84	98	1055
85	98	1047
86	99	1039
87	99	1032
88	100	1025
89	100	1018
90	101	1011
91	101	1005
92	102	999
93	103	992
94	103	986
95	104	980
96	104	973
97	105	967
98	105	961
99	106	955
100	106	949
101	107	944
102	107	938
103	108	933
104	108	928
105	109	923
106	110	918
107	110	913
108	111	909
109	111	903
110	112	899
111	112	894
112	113	889
113	113	885
114	114	880
115	114	876
116	115	871
117	116	867
118	116	863
119	117	859
120	117	855
121	118	851
122	118	847
123	119	843
124	119	839
125	120	835
126	121	831
127	121	828
128	122	824
129	122	821
130	123	817
131	123	814
132	124	811
133	124	807
134	125	803
135	125	800
136	126	797
137	127	794
138	127	790
139	128	787
140	128	784
141	129	781
142	129	778
143	130	774
144	130	771
145	131	768
146	131	765
147	132	763
148	133	760
149	133	757
150	134	754
151	134	751
152	135	748
153	135	745
